City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
518,Cayenne,GF,77.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
522,Porbandar,IN,80.49,clear sky,21.6422,69.6093,Lords Inn Porbandar
525,Bintulu,MY,80.56,overcast clouds,3.1667,113.0333,900 Boutique INN
526,Taoudenni,ML,78.37,overcast clouds,22.6783,-3.9836,
533,Benguela,AO,79.36,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
534,The Valley,AI,76.59,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
536,Tsaratanana,MG,75.56,light rain,-16.7833,47.65,
544,Oron,NG,79.2,broken clouds,4.8256,8.2343,Aqua Belloni Lodge
545,Kavieng,PG,82.45,moderate rain,-2.5744,150.7967,Nusa Island Retreat
546,Rockhampton,AU,84.43,broken clouds,-23.3833,150.5,Mercure Rockhampton
547,Oriximina,BR,73.22,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
550,Mizan Teferi,ET,76.82,broken clouds,6.9833,35.5833,Hotel Salayish - ሳላይሽ ሆቴል
551,Tual,ID,83.08,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
552,Tucuman,AR,75.2,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
554,Kieta,PG,79.99,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
555,Beloha,MG,78.8,broken clouds,-25.1667,45.05,
556,Voh,NC,77.25,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
557,Ambunti,PG,83.03,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
580,Lokoja,NG,75.34,few clouds,7.8024,6.743,Hotel Charvid
583,Lahaina,US,76.24,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
589,Denpasar,ID,84.02,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
591,Porto Belo,BR,76.84,broken clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
592,Dire,ML,77.27,broken clouds,12.2833,-10.9667,
598,Katherine,AU,82.51,overcast clouds,-14.4667,132.2667,Pine Tree Motel
599,Bolobo,CD,75.78,broken clouds,-2.1667,16.2333,Hotel de Stephen
600,Merauke,ID,84.9,overcast clouds,-8.4667,140.3333,
