City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
193,San Rafael,AR,-34.6177,-68.3301,70.43,49,6,10.85,clear sky
194,Khasan,RU,42.4308,130.6434,40.24,38,24,12.28,few clouds
195,Avarua,CK,-21.2078,-159.775,81.28,77,100,6.44,overcast clouds
196,Labuhan,ID,-6.8844,112.2051,83.37,76,72,9.22,broken clouds
197,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,91,74,15.64,broken clouds
198,Acapulco,MX,16.8634,-99.8901,77.49,70,11,5.28,few clouds
199,Lagoa,PT,39.05,-27.9833,61.34,85,100,34.05,overcast clouds
200,Nikolskoye,RU,59.7035,30.7861,15.69,100,71,2.8,broken clouds
201,Sao Mateus,BR,-18.7161,-39.8589,71.78,88,2,0.87,clear sky
202,Vaini,TO,-21.2,-175.2,82.56,94,40,4.61,scattered clouds
203,Isangel,VU,-19.55,169.2667,80.71,89,100,6.91,overcast clouds
204,Xifeng,CN,42.7372,124.7222,36.75,33,1,15.82,clear sky
205,Murray Bridge,AU,-35.1167,139.2667,83.23,34,100,6.31,overcast clouds
206,Aitape,PG,-3.1374,142.3475,79.3,88,100,8.66,overcast clouds
207,Abha,SA,18.2164,42.5053,60.48,47,97,2.24,overcast clouds
208,Fort Nelson,CA,58.8053,-122.7002,10.8,96,100,4.43,snow
209,The Pas,CA,53.8251,-101.2541,3.22,60,75,5.75,broken clouds
210,Cidreira,BR,-30.1811,-50.2056,76.75,90,26,19.44,scattered clouds
211,Avila,ES,40.5833,-5.0,40.64,94,98,2.01,overcast clouds
212,Sovetskiy,RU,61.3614,63.5842,26.31,87,100,9.51,overcast clouds
213,Huilong,CN,31.8111,121.655,56.98,50,0,8.25,clear sky
214,Port Macquarie,AU,-31.4333,152.9167,71.46,89,100,9.69,moderate rain
215,Thinadhoo,MV,0.5333,72.9333,83.16,73,27,8.68,scattered clouds
216,Meulaboh,ID,4.1363,96.1285,81.68,75,84,3.98,broken clouds
217,Linamon,PH,8.186,124.1628,83.1,73,24,9.6,few clouds
218,Te Anau,NZ,-45.4167,167.7167,65.03,41,2,1.32,clear sky
219,Geraldton,AU,-28.7667,114.6,77.99,63,0,20.38,clear sky
